mapblklot,analysis_neighborhood,FZP Planning Code
0162026,North Beach,NCD-BROADWAY
5335C002E,Bayview Hunters Point,RH-1
3753177,South of Market,MUR
5361020,Bayview Hunters Point,RH-1
6089024A,Excelsior,RH-1
6990015,Oceanview/Merced/Ingleside,RH-1
5870036,Excelsior,RH-1
6968038,Outer Mission,RH-1
3144B034,Outer Mission,NC-1
5633015,Bernal Heights,RH-1
3728171,South of Market,RCD
6339025,Excelsior,RH-1
3568043,Mission,NC-1
6408003,Excelsior,RH-1
5617031,Bernal Heights,RH-2
0151073,Nob Hill,RH-3
6533005,Mission,RH-3
3995057,Potrero Hill,UMU
0242025,Chinatown,CRNC
3753493,South of Market,MUR
3706075,Financial District/South Beach,C-3-R
4142051,Mission,RM-1
0256086,Nob Hill,RM-4
6052015,Portola,RH-1
5308013A,Bayview Hunters Point,RH-1
4069045,Potrero Hill,RH-2
3638037,Mission,RH-3
5410019,Bayview Hunters Point,RH-2
6359040,Visitacion Valley,RH-1
6965A026,Outer Mission,RH-1
5745045,Bernal Heights,RH-2
0741003,Tenderloin,RC-4
6997048,Oceanview/Merced/Ingleside,RH-1(D)
4151004,Mission,RH-2
0838003,Hayes Valley,NCT-HAYES
0116005,North Beach,NCD-NORTH BEACH
5319014,Bayview Hunters Point,RH-1
5743025,Bernal Heights,RH-1
5723024,Bernal Heights,RH-1
0158047,Nob Hill,RM-2
6721011,Outer Mission,RH-2
5904011,Excelsior,RH-1
0284021,Nob Hill,RC-4
4038027,Potrero Hill,NC-2
3575107,Mission,NCT-MISSION
0663006,Pacific Heights,RH-2
0164004,North Beach,C-2
5660034,Bernal Heights,RH-1
3755256,South of Market,WMUG
4970005,Bayview Hunters Point,RH-1
6969020,Outer Mission,NCD-EXCELSIOR
3729097,South of Market,WMUG
6272051,Excelsior,NCD-EXCELSIOR
0224080,Chinatown,RM-4
0142006,Financial District/South Beach,C-2
6209022,Visitacion Valley,RH-1
5964019,Excelsior,RH-1
6594040,Noe Valley,RH-2
6518035,Mission,RTO-M
0191021,Chinatown,RM-3
5523028,Bernal Heights,RH-2
5900A005,Portola,RH-1
4268032,Mission,NCT-24TH-MISSION
5882034,Portola,RH-1
7065012C,Outer Mission,RH-1
5612044,Bernal Heights,RH-1
3764071,Financial District/South Beach,MUO
5842039,Bernal Heights,RH-1(D)
0832074,Hayes Valley,NCT-HAYES
5712018,Bernal Heights,RH-2
5611022,Bernal Heights,RH-2
6083010,Excelsior,RH-2
3589145,Mission,RTO-M
6449013,Excelsior,RH-1(D)
6783001K,Outer Mission,RH-1
4171004,Potrero Hill,RH-3
4043014,Potrero Hill,UMU
3525012,South of Market,SALI
6200018,Visitacion Valley,RH-1
6477016,Excelsior,RH-1
5335C001E,Bayview Hunters Point,RH-1
0710027,Western Addition,RM-3
0754028,Western Addition,RM-2
3725019,South of Market,MUR
3607056B,Mission,RH-3
3615031C,Mission,NCT-MISSION
6481009,Excelsior,RH-1
6319019,Visitacion Valley,RH-1
3513196,Mission,NCT-3
0275A001,Nob Hill,RM-4
3987051,Potrero Hill,UMU
7381056,Lakeshore,RH-1
3732153,South of Market,MUR
4914036,Bayview Hunters Point,RH-1
5387015B,Bayview Hunters Point,RH-1
3547261,Mission,NCT-MISSION
0151057,Nob Hill,RH-3
0311008,Financial District/South Beach,C-3-O
0785061,Hayes Valley,NCT-3
4100084,Potrero Hill,RH-2
5611052,Bernal Heights,RH-2
4028009,Potrero Hill,RH-2
3597115,Mission,RTO-M
7064007B,Outer Mission,RH-1
5613009,Bernal Heights,RH-1
3730199,South of Market,RED
6489007A,Excelsior,RH-1
5384D013,Bayview Hunters Point,RH-1
0687020,Japantown,RM-4
4762010B,Bayview Hunters Point,RH-2
3518119,South of Market,RCD
7381137,Lakeshore,RH-1
0296015,Nob Hill,C-3-G
7166009,Outer Mission,RH-1
6491001G,Excelsior,RH-1
5542034,Bernal Heights,RH-1
7069014,Oceanview/Merced/Ingleside,RH-1
0272043,Nob Hill,RM-4
6349019,Excelsior,RH-1
1028013A,Pacific Heights,RH-2
4267002,Mission,RH-2
3704079,South of Market,C-3-G
5084021,Bayview Hunters Point,RH-1
5706029,Bernal Heights,RH-1
5813039,Bernal Heights,RH-1
3211020,Outer Mission,RH-1
4034071,Potrero Hill,UMU
5073019,Bayview Hunters Point,RH-1
7057009A,Oceanview/Merced/Ingleside,RH-1
4102063,Potrero Hill,RH-2
5915019,Portola,RH-1
4085050,Mission,RH-2
3757144,South of Market,SALI
0194014,Chinatown,CVR
6023020,Excelsior,RH-1
7100017,Outer Mission,RH-1
6019007E,Excelsior,RH-1
0692030,Nob Hill,NCD-POLK
5909029,Excelsior,RH-1
5963042,Excelsior,RH-1
5067A001A,Visitacion Valley,RH-1
4757011,Bayview Hunters Point,RH-1
7029A009,Outer Mission,RH-1
5342021,Bayview Hunters Point,RH-2
0254028,Nob Hill,RM-4
5721009,Bernal Heights,RH-2
5335A029,Bayview Hunters Point,RH-1
5661051,Bernal Heights,RH-1
0322A001,Tenderloin,RC-4
3208A001G,Outer Mission,RH-1
6072006E,Excelsior,RH-1
2630066,Inner Sunset,RH-3
5937025,Excelsior,RH-1
0755009,Western Addition,RM-3
6486004,Excelsior,RH-1
0284026,Nob Hill,RC-4
4083008,Mission,UMU
6190083,Visitacion Valley,RH-1
6282009,Excelsior,RH-2
3611105,Mission,RH-3
5835005,Bernal Heights,RH-1(D)
4146051,Mission,RH-2
0677127,Pacific Heights,RM-3
6194011,Visitacion Valley,RH-1
6079019,Excelsior,RH-1
5334035,Bayview Hunters Point,RH-1
6724008,Outer Mission,RH-2
5860027,Portola,RH-1
6252004,Visitacion Valley,RH-1
4100032,Potrero Hill,NC-2
5900A021,Portola,RH-1
6423046,Excelsior,RH-2
3777037,South of Market,MUG
3741047,Financial District/South Beach,C-3-O(SD)
7043005F,Outer Mission,RH-1
3754097,South of Market,MUG
3575139,Mission,UMU
4208045,Mission,RH-2
4272019,Mission,RH-2
4172075,Potrero Hill,NCT-2
5320018,Bayview Hunters Point,RH-2
6692067,Bernal Heights,RH-2
6419031,Excelsior,RH-1
3502149,Mission,NCT-3
3738018,Financial District/South Beach,TB DTR
6784019,Outer Mission,RH-1
6481001,Excelsior,RH-1
6301017,Visitacion Valley,RH-1
3569113,Mission,NCT-MISSION
4096114,Potrero Hill,RH-2
7001031,Oceanview/Merced/Ingleside,RH-1
7308003,Lakeshore,PM-R
7059008,Oceanview/Merced/Ingleside,RH-1
3648009,Mission,RH-3
5863002,Portola,RH-1(D)
6089032A,Excelsior,RH-1
5613006,Bernal Heights,RH-1
5646004,Bernal Heights,RH-1
4151016,Mission,RM-1
5258064,Bayview Hunters Point,RH-1
0118028,Chinatown,RM-2
3783011,South of Market,UMU
5647029,Bernal Heights,RH-1
0838037,Hayes Valley,NCT-3
6274018,Excelsior,RH-1
3789444,Financial District/South Beach,SB-DTR
5354027,Bayview Hunters Point,RH-1
0311005,Financial District/South Beach,C-3-O
3504061,Mission,NCT-3
4081055,Mission,UMU
0288011,Financial District/South Beach,C-3-O
4791003,Bayview Hunters Point,RH-1
4972011,Bayview Hunters Point,RH-1
0052117,North Beach,NCD-NORTH BEACH
6082037,Excelsior,RH-2
5517021E,Bernal Heights,RH-2
3995030,Potrero Hill,UMU
4991743,Bayview Hunters Point,RH-2
7034009,Oceanview/Merced/Ingleside,RH-1
3594131,Mission,RM-1
5946035,Excelsior,RH-1
6404008,Excelsior,RH-1
3616086,Mission,NCT-MISSION
3513083,Mission,NCT-3
6720017,Bernal Heights,RH-1
5357046,Bayview Hunters Point,RH-1
4264041,Mission,NCT-24TH-MISSION
3643006,Mission,NCT-MISSION
6353003,Excelsior,RH-1
7124012B,Oceanview/Merced/Ingleside,RH-1
5354A007,Bayview Hunters Point,RH-1
3641024,Mission,RM-1
4059013,Potrero Hill,UMU
0749006A,Western Addition,RM-3
3211003C,Outer Mission,RH-1
7044C013,Outer Mission,RH-1
5896061,Excelsior,RH-1
6123012,Portola,RH-1
7137016,Oceanview/Merced/Ingleside,RH-1
5501019,Bernal Heights,RH-2
0808064,Hayes Valley,NCT-HAYES
5503038,Bernal Heights,RH-2
6953024,Outer Mission,RH-1
5726026,Bernal Heights,RH-1
3617040,Mission,RH-3
5667013,Bernal Heights,NCD-CORTLAND AVENUE
3717022,Financial District/South Beach,C-3-O(SD)
5982005E,Portola,RH-2
4073032,Potrero Hill,RH-3
6348002D,Excelsior,RH-1
5646001,Bernal Heights,RH-1
5619038,Bernal Heights,RH-1
0252001,Nob Hill,RM-4
3202030,Outer Mission,RH-1
6991032,Oceanview/Merced/Ingleside,RH-1
5931028,Portola,RH-1
5928024,Portola,RH-1
7009019A,Oceanview/Merced/Ingleside,RH-1
6636017,Noe Valley,RH-2
5861041,Portola,RH-1
6468008,Excelsior,RH-1
4991475,Bayview Hunters Point,C-2
0191005,Chinatown,CRNC
4097060,Potrero Hill,RH-2
6076022,Excelsior,RH-1
5395032,Bayview Hunters Point,RH-1
6116047,Portola,RH-1
7120002,Oceanview/Merced/Ingleside,RH-1
0816070,Hayes Valley,NCT-HAYES
0156008,Nob Hill,NCD-PACIFIC
5447023,Bayview Hunters Point,RH-1
6012017,Excelsior,RH-1
0090038,Chinatown,NCD-NORTH BEACH
6276045,Excelsior,RH-2
5966008A,Excelsior,RH-1
4095002,Potrero Hill,RH-2
6568017A,Mission,RH-3
0735118,Western Addition,NC-S
3730416,South of Market,WMUG
0337021,Tenderloin,RC-4
5618030,Bernal Heights,RH-1
3598060,Mission,RH-3
5635001A,Bernal Heights,RH-1
3733098,South of Market,RC-4
5853009,Portola,RH-1
4217046,Potrero Hill,RH-2
5381011,Bayview Hunters Point,RH-1
5360001,Bayview Hunters Point,RH-1
3596045,Mission,RTO-M
0716008,Tenderloin,RC-4
4282AEASP,Potrero Hill,RH-1
5392013,Bayview Hunters Point,RH-1
6178014,Visitacion Valley,RH-1
5428D003,Bayview Hunters Point,RH-1
5970028,Portola,RH-1
5992016,Portola,RH-1
7029019,Outer Mission,RH-1
0740003,Tenderloin,RC-4
3618099,Mission,RH-3
3554040,Mission,RTO-M
4789007,Bayview Hunters Point,RH-1
5327047,Bayview Hunters Point,RH-2
5629030,Bernal Heights,RH-1
3731160,South of Market,RED
6024045,Excelsior,RH-1
3730137,South of Market,WMUG
6463051A,Excelsior,RH-1
0732032,Western Addition,NCT-FILLMORE
3735A001,Financial District/South Beach,C-3-O(SD)
5395006,Bayview Hunters Point,RH-1
6411014,Excelsior,RH-1
6251012A,Visitacion Valley,RH-1
5291008,Bayview Hunters Point,NCD-BAYVIEW
5814013,Bernal Heights,RH-1
5320016,Bayview Hunters Point,RH-2
5698009,Bernal Heights,RH-1
3753056,South of Market,MUR
0818055,Hayes Valley,NCT-HAYES
1709014A,Sunset/Parkside,RH-2
6085009,Excelsior,RH-1
5959012,Excelsior,RH-1
7169040,Outer Mission,RH-1
7075052,Oceanview/Merced/Ingleside,RH-1
3787018,South of Market,CMUO
7088038,Oceanview/Merced/Ingleside,RH-1
5618009,Bernal Heights,RH-1
0180029,Chinatown,RH-3
4146014,Mission,RH-2
4162030,Potrero Hill,RH-2
2620120,Castro/Upper Market,RH-2
0731018,Western Addition,RM-3
6247045,Visitacion Valley,RH-1
3593051,Mission,RH-3
0330027,Tenderloin,C-3-R
7052015,Oceanview/Merced/Ingleside,RH-1
7166037,Outer Mission,RH-1
3728198,South of Market,WMUG
0188010,Nob Hill,RM-3
5735016,Bernal Heights,RH-1
3548193,Mission,NCT-MISSION
3778046B,South of Market,MUG
7019016,Oceanview/Merced/Ingleside,RH-1
0221165,Nob Hill,RM-3
0182036,Nob Hill,RM-3
4808008B,Bayview Hunters Point,RH-1
6532067,Mission,RM-2
6006009,Excelsior,RH-1
0131018,North Beach,NCD-NORTH BEACH
3209013,Outer Mission,RH-1
5335A033,Bayview Hunters Point,RH-1
4710080,Bayview Hunters Point,RH-1
6797041,Outer Mission,RH-1
6661016,Bernal Heights,RH-2
3775181,Financial District/South Beach,CMUO
4035001,Potrero Hill,NC-2
3569093,Mission,NCT-MISSION
3784125,South of Market,RED-MX
0603003A,Pacific Heights,RM-2
5996002C,Portola,RH-1
7105007A,Oceanview/Merced/Ingleside,RH-1
3733079,South of Market,C-3-S
3775021,Financial District/South Beach,CMUO
3732044,South of Market,MUR
3987087,Potrero Hill,UMU
6569052,Mission,NCT-MISSION
3785030,Mission Bay,CMUO
4106007,Potrero Hill,RH-3
3775222,Financial District/South Beach,SPD
6526021,Mission,RM-1
4171017,Potrero Hill,NCT-2
4207029,Mission,RH-2
5697006,Bernal Heights,RH-1
5426053,Bayview Hunters Point,RH-1
5650029,Bernal Heights,RH-1
5501057,Bernal Heights,RH-2
0179016,Chinatown,CRNC
4081009A,Mission,RH-2
4161007,Potrero Hill,RH-2
6319010,Visitacion Valley,RH-1
4024008,Mission,RH-2
3731156,South of Market,RED
5515004,Bernal Heights,RH-2
6349007,Excelsior,RH-1
6340023,Excelsior,RH-1
5336036,Bayview Hunters Point,RH-1
0837026,Hayes Valley,NCT-3
4103055,Potrero Hill,MUR
5402066,Bayview Hunters Point,RH-1
4108003C,Potrero Hill,UMU
7330009,Lakeshore,PM-R
6091024,Excelsior,RH-2
6420009,Excelsior,RH-1
3779026,South of Market,SALI
0208028,Chinatown,C-3-O
4218034,Potrero Hill,RH-3
6202033,Visitacion Valley,RH-1
3736124,Financial District/South Beach,TB DTR
3610066,Mission,RTO-M
4172003,Potrero Hill,NCT-2
5947058,Excelsior,RH-1
5072011,Bayview Hunters Point,RH-1
5617015,Bernal Heights,RH-2
4644002,Bayview Hunters Point,NC-2
3984001A,Potrero Hill,RH-3
5860017,Portola,RH-1
0652081,Pacific Heights,RH-2
3726057,South of Market,RED
3778001C,South of Market,MUG
6283005,Excelsior,RH-1
4276046,Mission,RH-2
5343015,Bayview Hunters Point,RH-2
0180049A,Chinatown,RC-3
3642069,Mission,NCT-MISSION
6025001,McLaren Park,RH-1
3596146,Mission,RTO-M
6530060,Mission,NCT-VALENCIA
3619146,Noe Valley,RM-1
3994045,Potrero Hill,UMU
5402072,Bayview Hunters Point,NC-1
5638021,Bernal Heights,RH-1
5967004E,Excelsior,RH-1
3730129,South of Market,WMUG
0144083,North Beach,RM-2
5530003,Bernal Heights,RH-1
3570050,Mission,UMU
6491016,Excelsior,RH-1
3753152,South of Market,MUR
0756019,Western Addition,NCT-FILLMORE
3727205,South of Market,RED
5977029,Portola,RH-1
0282023,Nob Hill,RC-4
0341015,Tenderloin,C-3-G
3154068,Outer Mission,RH-1
3755176,South of Market,RED
5838024,Bernal Heights,RH-1(D)
0676027,Pacific Heights,RM-3
6362027,Visitacion Valley,RH-1
7159015,Outer Mission,RH-1
6050009,Portola,RH-2
5932028,Portola,RH-1
3532143,Mission,RM-1
7057047,Oceanview/Merced/Ingleside,RH-1
7019053,Oceanview/Merced/Ingleside,RH-1
3555031L,Mission,RTO-M
5259032,Bayview Hunters Point,RH-1
6118005B,Portola,RH-1
6534068,Mission,RH-3
6170029,Portola,RH-1
0793080,Hayes Valley,NCT-3
5312042,Bayview Hunters Point,RH-2
3732562,South of Market,MUR
6951024,Outer Mission,RH-1
6479017,Excelsior,RH-1
6233010,Visitacion Valley,RH-1
5877033,Portola,RH-1
3151025,Outer Mission,RH-1
7067004,Oceanview/Merced/Ingleside,RH-1
0334003,Tenderloin,RC-4
5622014,Bernal Heights,RH-1
0288010,Financial District/South Beach,C-3-O
3578042,Mission,RH-3
6406019,Excelsior,RH-1
3612082,Mission,UMU
5619030,Bernal Heights,RH-1
5915012,Portola,RH-1
5574003,Bernal Heights,RH-1
6081040,Excelsior,RH-1
5338012,Bayview Hunters Point,RH-2
3703070,South of Market,C-3-G
4991A005,Bayview Hunters Point,C-2
4967045,Bayview Hunters Point,RH-1
6128007B,Portola,RH-1
6117014,Portola,RH-1
3618021,Mission,RH-3
5504001A,Bernal Heights,RH-2
6327005,Visitacion Valley,RH-1
5701015,Bernal Heights,RH-1
6795D037,Outer Mission,RH-1
4045148,Potrero Hill,UMU
6514005,Mission,NCT-VALENCIA
0116029,North Beach,RM-2
3548111,Mission,UMU
5464018,Bayview Hunters Point,RH-1
6394014,Excelsior,RH-1
4037044,Potrero Hill,RH-2
0126045,Nob Hill,RM-2
3578139,Mission,RM-1
4334016,Mission,RH-2
3753219,South of Market,MUR
6160016,Portola,RH-1
3729091,South of Market,NCT-FOLSOM
5395046,Bayview Hunters Point,RH-1
0162021,North Beach,NCD-BROADWAY
3786083,South of Market,CMUO
0181007,Nob Hill,RC-3
6394004,Excelsior,RH-1
5079010,Bayview Hunters Point,RH-1
5428D060,Bayview Hunters Point,RH-1
4160031A,Potrero Hill,RH-2
0298032,Nob Hill,RC-4
4094063,Potrero Hill,RH-2
6341025E,Excelsior,RH-1
3636050,Mission,NCT-MISSION
3576062,Mission,NCT-VALENCIA
5338009,Bayview Hunters Point,RH-2
3608079,Mission,RH-3
0297015,Nob Hill,C-3-G
5404041,Bayview Hunters Point,RH-1
5398031,Bayview Hunters Point,RH-1
0279057,Nob Hill,RC-4
7089014,Oceanview/Merced/Ingleside,RH-1
6003019,Excelsior,RH-1
4060006,Potrero Hill,UMU
0188043,Nob Hill,RM-3
0335002,Tenderloin,RC-4
3575102,Mission,RTO-M
4810002C,Bayview Hunters Point,RH-1
6489065,Excelsior,RH-1
0054060,North Beach,RH-3
3757046,South of Market,SALI
0101039,Chinatown,NCD-NORTH BEACH
4720080,Bayview Hunters Point,RH-2
6154013,Portola,RH-1
5713027,Bernal Heights,RH-2
6525033,Mission,RH-3
5054A114,Bayview Hunters Point,NC-S
4209004,Mission,RH-2
3570020,Mission,NCT-MISSION
7057045,Oceanview/Merced/Ingleside,RH-1
5616045,Bernal Heights,RH-2
3642040,Mission,RTO-M
0744018,Western Addition,RM-4
7083021,Oceanview/Merced/Ingleside,RH-1
6090003,Excelsior,RH-1
0775046,Western Addition,RM-1
4149007,Mission,RH-2
6204003C,Visitacion Valley,RH-1
6748036,Outer Mission,RH-1
6402020,Excelsior,RH-1
5382049,Bayview Hunters Point,RH-1
3578007,Mission,RM-2
6780020E,Outer Mission,RH-1
5400019,Bayview Hunters Point,RH-1
7028A002,Outer Mission,RH-1
5428D007,Bayview Hunters Point,RH-1
6410002,Excelsior,RH-1
3834004,Mission Bay,UMU
5540012,Bernal Heights,RH-1
5080011,Bayview Hunters Point,RH-1
7031002D,Outer Mission,NCD-EXCELSIOR
4034006,Potrero Hill,UMU
0223020,Nob Hill,RM-3
7072004,Oceanview/Merced/Ingleside,RH-1
6209031,Visitacion Valley,RH-1
3144C025,Outer Mission,RH-1
3577068,Mission,RTO-M
6603056,Noe Valley,RH-2
5531015,Bernal Heights,RH-2
5255011A,Bayview Hunters Point,RH-1
0330023,Tenderloin,C-3-G
6795C002D,Outer Mission,RH-1
5520023,Bernal Heights,RH-1
0675037,Pacific Heights,RM-3
0664020,Pacific Heights,RH-2
6596022,Bernal Heights,NCD-MISSION BERNAL
6052013,Portola,RH-1
0241027,Chinatown,C-3-O
6958028,Outer Mission,RH-1
5887029,Excelsior,RH-1
3595018,Mission,NCT-MISSION
6359011,Visitacion Valley,RH-1
7155016,Outer Mission,RH-1
0717020,Tenderloin,RC-4
6419009,Excelsior,RH-1
5526031,Bernal Heights,RH-2
7052046,Oceanview/Merced/Ingleside,RH-1
4074009,Potrero Hill,RH-2
5501065A,Bernal Heights,RH-2
4224178,Potrero Hill,RH-3
5688019,Bernal Heights,RH-1
7150021,Oceanview/Merced/Ingleside,RH-1
7028A007,Outer Mission,RH-1
6958047,Outer Mission,RH-1
3787049,South of Market,CMUO
5337007,Bayview Hunters Point,RH-1
7072011,Oceanview/Merced/Ingleside,RH-1
5673060,Bernal Heights,RH-2
7097043,Outer Mission,RH-1
5400022,Bayview Hunters Point,RH-1
0177002,Chinatown,CCB
3577022,Mission,NC-3
7015008,Oceanview/Merced/Ingleside,RH-1
5384C008A,Bayview Hunters Point,RH-1
4224051,Potrero Hill,UMU
5742019,Bernal Heights,RH-1
3212028,Outer Mission,RH-1
3726202,South of Market,RED
3639093,Mission,UMU
5705003,Bernal Heights,RH-1
5956029,Excelsior,RH-1
5659017A,Bernal Heights,NCD-CORTLAND AVENUE
6019018,Excelsior,RH-1
6282002,Excelsior,RH-1
5925004,Portola,NCD-SAN BRUNO AVENUE
6306028,Visitacion Valley,RH-1
7169009,Outer Mission,RH-1
6482025,Excelsior,RH-1
3726155,South of Market,RED
3532065,Mission,RM-1
5549088,Bernal Heights,RH-1
0649029,Pacific Heights,RH-2
0115024,North Beach,RH-3
6203038,Visitacion Valley,RH-1
4039032,Potrero Hill,RH-2
7381060,Lakeshore,RH-1
3207028,Outer Mission,NCD-EXCELSIOR
5690031,Bernal Heights,RH-1
0254024,Nob Hill,RM-4
3705042,South of Market,C-3-R
6091030,Excelsior,RH-1
0661043,Pacific Heights,RH-2
4711151,Bayview Hunters Point,RH-2
3633013,Mission,RH-3
6423094,Excelsior,RH-2
3755183,South of Market,RED
7064A011,Outer Mission,RH-1
5817012,Bernal Heights,NC-S
3147011,Outer Mission,RH-1
3778068,South of Market,MUG
3753207,South of Market,MUR
0104045,North Beach,RH-3
5814026,Bernal Heights,RH-1
7331225,Lakeshore,RM-1
5527038,Bernal Heights,RH-1
0711031,Western Addition,RM-4
3644009,Mission,NCT-VALENCIA
5745023,Bernal Heights,RH-2
7129011,Oceanview/Merced/Ingleside,RH-1
5804025,Bernal Heights,RH-1(D)
5612042,Bernal Heights,RH-1
7154006,Outer Mission,RH-1
3587030,Mission,RM-2
0300233,Nob Hill,RC-4
6277010,Excelsior,RH-1
6511039,Mission,RH-3
0242003,Chinatown,CVR
4172016,Potrero Hill,NCT-2
3726163,South of Market,RED
7331177,Lakeshore,RM-1
5860015,Portola,RH-1
0743201,Western Addition,C-2
7054062,Oceanview/Merced/Ingleside,RH-1
5411020,Bayview Hunters Point,RH-2
3521010,Mission,WMUO
3755085,South of Market,RED
5554011,Bernal Heights,RH-2
0321032,Tenderloin,RC-4
5727026,Bernal Heights,RH-1
0659008,Pacific Heights,NCD-UPPER FILLMORE
3755005,South of Market,NCT-FOLSOM
7037009,Oceanview/Merced/Ingleside,RH-1
3612049,Mission,RH-3
0709027,Western Addition,RM-3
5656030,Bernal Heights,RH-1
7049028,Oceanview/Merced/Ingleside,RH-1
3576027,Mission,RTO-M
4208033,Mission,RH-2
5898022,Excelsior,RH-1
5935027,Excelsior,RH-1
6968024,Outer Mission,RH-1
6971B032,Outer Mission,RH-1
0242005,Chinatown,C-3-G
5523024,Bernal Heights,RH-2
4059009,Potrero Hill,UMU
3589071,Mission,RTO-M
6094003,Excelsior,RH-1
5957020,Excelsior,RH-1
5470002,Bayview Hunters Point,NC-3
6073002C,Excelsior,RH-1
7017040,Oceanview/Merced/Ingleside,RH-1
0143036,North Beach,RH-3
7007018,Oceanview/Merced/Ingleside,RH-1
6279048,Excelsior,RH-2
3519105,South of Market,NCT-FOLSOM
7097043F,Outer Mission,RH-1
3617122,Mission,NCT-VALENCIA
5887045,Excelsior,RH-1
7076027,Oceanview/Merced/Ingleside,RH-1
3752591,South of Market,MUR
5353B005D,Bayview Hunters Point,RH-1
3750073,Financial District/South Beach,CMUO
5687013,Bernal Heights,RH-1
3576083,Mission,NCT-MISSION
3578090,Mission,RM-2
5728014,Bernal Heights,RH-1
0140007,Financial District/South Beach,C-2
6441006,Excelsior,RH-1(D)
3961001A,Mission,RH-3
5927029,Portola,RH-1
6323016,Visitacion Valley,RH-1
5279016,Bayview Hunters Point,RH-2
6957004,Outer Mission,RH-1
4108041,Potrero Hill,UMU
5514044,Bernal Heights,RH-2
5618028,Bernal Heights,RH-1
7083001,Oceanview/Merced/Ingleside,RH-1
3984035,Potrero Hill,RH-3
5426026,Bayview Hunters Point,RH-1
6462019,Excelsior,RH-1
5862019,Portola,RH-1
3732087,South of Market,MUR
7029005F,Outer Mission,RH-1
1155070,Western Addition,RM-1
7137009,Oceanview/Merced/Ingleside,RH-1
6409001,Excelsior,RH-1
0351052,Tenderloin,C-3-G
5946021,Excelsior,RH-1
0737014,Western Addition,RM-4
6990005,Oceanview/Merced/Ingleside,RH-1
7010036,Oceanview/Merced/Ingleside,RH-1
6326015,Visitacion Valley,RH-1
0662014,Pacific Heights,RH-2
5067A002B,Visitacion Valley,RH-1
0652073,Pacific Heights,RH-2
6472021B,Excelsior,NCD-EXCELSIOR
3617039,Mission,RH-3
0156014,Nob Hill,NCD-PACIFIC
3727185,South of Market,WMUG
5704014,Bernal Heights,RH-1
3569085,Mission,NCT-MISSION
0210015,Chinatown,CRNC
5688024,Bernal Heights,RH-1
6597049,Bernal Heights,NCD-MISSION BERNAL
4151001A,Mission,RM-1
5624021,Bernal Heights,RH-1
0101051,Chinatown,NCD-NORTH BEACH
4039017,Potrero Hill,RH-2
6443002,Excelsior,RH-1
6331027,Visitacion Valley,RH-1
6042046,Portola,RH-1
0355005,Tenderloin,C-3-G
6112008,Portola,RH-1
3590037,Mission,RTO-M
3614054,Mission,RH-3
5311016A,Bayview Hunters Point,RH-2
4150004,Mission,RM-1
6332014,Visitacion Valley,RH-1
5934012,Portola,RH-1
3776128,South of Market,CMUO
0678126,Pacific Heights,NCT-FILLMORE
0189001A,Nob Hill,RM-3
9900274H,Financial District/South Beach,C-2
6200050,Visitacion Valley,RH-1
5709012,Bernal Heights,RH-2
5290007,Bayview Hunters Point,RH-2
5718018,Bernal Heights,RH-2
5891028,Excelsior,RH-1
