mapblklot,from_address_num,street_name,street_type,analysis_neighborhood,zoning_code,zoning_district,supervisor_district,supname,Height_Ft,distance_to_transit
5978025,263,SOMERSET,ST,Portola,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,4065.446842440366
3211027,141,SANTA YNEZ,AVE,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,524.5057091857161
4942001,1201,GILMAN,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1266.613266228088
7216008,3075,22ND,AVE,Sunset/Parkside,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",4,Alan Wong,40,938.1521352795452
2976002,367,KENSINGTON,WAY,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,863.7187685608601
2769024,455,DIAMOND,ST,Noe Valley,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,40,2480.2215875944453
1527032I,422,18TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,697.7864678596495
6612019,464,VALLEY,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1672.2943944712372
7062028,191,CAINE,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,303.2891963391666
6566023,1435,CHURCH,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,180.31931237646793
3596087A,877,VALENCIA,ST,Mission,NCT,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT,9,Jackie Fielder,55,1793.8949823676355
2928031,515,MAGELLAN,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,992.2876267985271
6925017,40,LUNADO,WAY,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1227.8351172607925
3749505,,,,Financial District/South Beach,TB DTR,TRANSBAY DOWNTOWN RESIDENTIAL,6,Matt Dorsey,85,2073.3341750899567
6472093,5875,MISSION,ST,Excelsior,NCD,EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT,11,Chyanne Chen,40,1879.819296837827
1031005,1735,LYON,ST,Presidio Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,1643.8121871027931
2374025A,2362,46TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,244.57823917937668
6532021,3666,26TH,ST,Mission,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,40,1382.4324873206538
5726005,4026,FOLSOM,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,3214.9129828024847
2148040,2050,29TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2381.776695223273
3622034,865,CASTRO,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1853.8154605128398
5383021C,2017,THOMAS,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2231.9691874794466
6720024,11,COLLEGE,TER,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1871.5255947236003
7225017,76,WOODACRE,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,310.8888943162964
3054001A,504,MELROSE,AVE,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,3801.0552419563705
0986021,3421,JACKSON,ST,Presidio Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",2,Stephen Sherrill,40,3042.3034014589557
1082028,2550,GEARY,BLVD,Presidio Heights,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",2,Stephen Sherrill,240,468.3506158355056
4101036,511,MISSOURI,ST,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,1266.4584589741703
1468023,3621,CLEMENT,ST,Outer Richmond,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",1,Connie Chan,40,713.8049250166927
2185036,2142,33RD,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1741.4281949391232
0040018,227,BAY,ST,North Beach,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",3,Danny Sauter,40,823.122146057108
6077029,445,NAPLES,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3804.0203168514886
6446024,1151,NAPLES,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3956.0147164300606
0523004,2539,POLK,ST,Russian Hill,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",3,Danny Sauter,65,673.3782909830877
6588002,1412,DIAMOND,ST,Noe Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,2631.9899553201612
0026027,25,BERGEN,ALY,Russian Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",2,Stephen Sherrill,40,1230.3194264449146
2084018A,1846,48TH,AVE,Sunset/Parkside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",4,Alan Wong,40,3049.7806899071984
3207024,65,SAN JUAN,AVE,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1813.8948834397606
1633023,691,11TH,AVE,Inner Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2049.9503108587764
1537024,484,08TH,AVE,Inner Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,776.114596462053
5645005,179,BOCANA,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,2023.6306909349773
6743001,751,CHENERY,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,582.3015833139868
5895020,214,MAYNARD,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,2578.0123339819543
0181039,18,AUBURN,ST,Nob Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",3,Danny Sauter,65,1243.5646343061028
1815007D,1465,38TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,610.3988442802591
3513045,1363,STEVENSON,ST,Mission,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,6,Matt Dorsey,40,851.4999407180003
2807001,200,HOFFMAN,AVE,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,3909.304884672259
2076024,3250,ORTEGA,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,3338.7585322510477
2191008,2159,26TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1627.5781151569743
5067008A,2114,BAY SHORE,BLVD,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,642.4440592070514
3538119,67,NOE,ST,Castro/Upper Market,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,8,Rafael Mandelman,40,452.435809946521
5322008,1642,PALOU,AVE,Bayview Hunters Point,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,244.78821928025707
2059027,1886,23RD,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,3306.5713847979805
6304009,948,RUTLAND,ST,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1180.1046799269961
1717049,1234,34TH,AVE,Sunset/Parkside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",4,Alan Wong,40,1098.9983971620293
6251005,50,PEABODY,ST,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1148.7300023424323
7047026,2592,SAN JOSE,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,77.02183427894431
1500041,8027,GEARY,BLVD,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,195.53514259327147
2431024,2526,31ST,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,886.3332331571492
6094013C,443,MUNICH,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,4856.387877192035
0977022,2829,PACIFIC,AVE,Pacific Heights,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",2,Stephen Sherrill,40,3268.059375485266
2129002E,2067,09TH,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1952.9604465842444
7247032,68,MEADOWBROOK,DR,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2942.3091577664236
0847033,739,PAGE,ST,Haight Ashbury,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",5,Bilal Mahmood,50,1143.7875886820914
1607008,751,37TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1739.6830194655809
0535003,3035,STEINER,ST,Marina,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",2,Stephen Sherrill,40,3904.438121222835
1567002A,619,24TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,874.6665465403142
7048011,46,CAINE,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,455.3044307198061
2882011,398,CASTENADA,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1649.2181034316118
1436023,390,05TH,AVE,Inner Richmond,NCD,GEARY BOULEVARD NEIGHBORHOOD COMMERCIAL DISTRICT,1,Connie Chan,85,338.0772069108453
1932016,1687,11TH,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",7,Myrna Melgar,40,1943.0273319091334
2370070,2354,42ND,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,290.3692991847574
5659025,3737,FOLSOM,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,3174.043503963596
5744005,676,ANDOVER,ST,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2605.85819868377
2764006,254,GRAND VIEW,AVE,Twin Peaks,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,3548.924393838003
3046039,81,SAN FELIPE,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1738.665393903745
1874020,1579,28TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1197.9151006051186
1185038,1605,FULTON,ST,Lone Mountain/USF,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",5,Bilal Mahmood,40,2509.613859776024
0925029,3270,LYON,ST,Marina,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",2,Stephen Sherrill,40,6455.75651127864
1651038,771,CABRILLO,ST,Inner Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2285.8474985640796
1928B048,0,UNKNOWN,,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,2482.736745454994
2329002G,2269,20TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,993.9041154604043
4159004,1016,DE HARO,ST,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,2537.0919346047685
3552002,1906,FOLSOM,ST,Mission,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",9,Jackie Fielder,55,1287.4389866219824
0114032,387,UNION,ST,North Beach,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",3,Danny Sauter,40,1602.3159442279407
1880031,1566,35TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1121.39113303018
2175006C,2151,42ND,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1677.7354529687475
6567008,1440,GUERRERO,ST,Mission,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,40,1241.5751563962535
1368017,179,08TH,AVE,Inner Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1643.510191000297
1142019,2880,GOLDEN GATE,AVE,Lone Mountain/USF,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1703.3619908488783
7085042A,186,RALSTON,ST,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,578.8345754674577
3646025,3525,23RD,ST,Mission,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",9,Jackie Fielder,40,1109.9712276438859
0151016,1136,BROADWAY,,Nob Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",3,Danny Sauter,65,2233.4507371673635
1489003,465,46TH,AVE,Outer Richmond,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",1,Connie Chan,40,163.6458141486862
1720016,1277,30TH,AVE,Sunset/Parkside,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",4,Alan Wong,40,861.9342278879668
5703013,3972,FOLSOM,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,3151.8175855062473
7021009,62,WILLIAR,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,975.2179980813082
2833014,63,STARVIEW,WAY,Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2152.4485691221134
0340015,191,EDDY,ST,Tenderloin,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",5,Bilal Mahmood,120,604.0516224021294
1381040,2019,LAKE,ST,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1994.5774078134132
2318019,2275,31ST,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,861.4980125668001
6589002D,1427,DIAMOND,ST,Noe Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,2469.9297595745998
6338023,701,ATHENS,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,4366.5277462412705
1625016,1800,CABRILLO,ST,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2006.1928754634835
2141008A,1250,QUINTARA,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2150.21505199434
5975015,631,FELTON,ST,Portola,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,4889.076064899184
2504A001U,2781,35TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2542.7315821274074
2360020A,2376,32ND,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,171.25688168987492
5398013,652,THORNTON,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2483.118611331693
6173020,1119,GIRARD,ST,Visitacion Valley,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",10,Shamann Walton,40,899.9508203581494
1864029,1586,19TH,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",7,Myrna Melgar,50,1255.8212687646337
2702019,220,DANVERS,ST,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,2562.3386601735183
1575021,674,33RD,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1170.1376759436648
2417010C,508,VICENTE,ST,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,898.1663026468908
7264004,131,EVERGLADE,DR,Sunset/Parkside,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",4,Alan Wong,40,3914.7006402864354
5505001,1502,FLORIDA,ST,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2929.8996091704093
1894039A,1512,GREAT,HWY,Sunset/Parkside,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",4,Alan Wong,40,809.465088134026
3013A004,30,SANTA PAULA,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,881.9084014464554
5070006,250,PENINSULA,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,929.1836041544364
0486A042,41,TOLEDO,WAY,Marina,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,3856.953574042221
5428E002,179,ORSI,CIR,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,65,1129.7604332376166
3144C014,27,NANTUCKET,AVE,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,531.1249542368191
6309016A,921,SUNNYDALE,AVE,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1751.1931474957646
1575013,683,32ND,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1244.4237095186375
0551009,1614,VALLEJO,ST,Marina,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",2,Stephen Sherrill,240,254.27346998889053
1916006B,1691,27TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1969.7482532556533
1897015,1659,46TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1756.9064061837498
0947009,2728,UNION,ST,Marina,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,4865.775744756714
1170034,2511,MCALLISTER,ST,Lone Mountain/USF,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,80,2642.199773500291
3540066,149,CASTRO,ST,Castro/Upper Market,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,40,1068.6094070277072
2022036,1710,28TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2134.0514103007663
0515008,3115,FILLMORE,ST,Marina,NCD,UNION STREET NEIGHBORHOOD COMMERCIAL,2,Stephen Sherrill,65,3456.5652684781967
0576015,2312,GOUGH,ST,Pacific Heights,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",2,Stephen Sherrill,80,907.4244597789982
2834029,254,DELLBROOK,AVE,Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1814.5615280813788
5319056,,,,Bayview Hunters Point,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,2153.6312040192097
1028004,1911,DIVISADERO,ST,Pacific Heights,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",2,Stephen Sherrill,85,1518.0314544317177
1408030,346,26TH,AVE,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,1044.2745669557855
5323005,1526,PALOU,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,535.0994235052679
2090052,1900,45TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,3347.553250329681
4282A027,1471,RHODE ISLAND,ST,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,3417.169538863348
1423015,261,10TH,AVE,Inner Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,1299.670381656581
5428G001,205,KALMANOVITZ,ST,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,65,957.1975823964617
4144027,2351,BRYANT,ST,Mission,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",9,Jackie Fielder,40,3149.032666150015
1571004D,663,28TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1553.6270926126888
2397017,2708,ULLOA,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,786.5652080128519
4720081,17,REBECCA,LN,Bayview Hunters Point,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,2101.9992663212693
1368016,177,08TH,AVE,Inner Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1666.527850429044
4094033,2112,22ND,ST,Potrero Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",10,Shamann Walton,40,2830.434499126125
2938A003,5,MARIETTA,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,3158.012573654001
1212024,2157,HAYES,ST,Lone Mountain/USF,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",5,Bilal Mahmood,40,2641.98456663629
0930015,2454,CHESTNUT,ST,Marina,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",2,Stephen Sherrill,40,5520.600645311293
1442001,901,CLEMENT,ST,Inner Richmond,NCD,INNER CLEMENT STREET NEIGHBORHOOD COMMERCIAL,1,Connie Chan,65,1077.8596491007709
0671001,1355,VAN NESS,AVE,Western Addition,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",2,Stephen Sherrill,350,195.85340585007722
3078038,160,YERBA BUENA,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2129.4681707447485
2387046,2467,38TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,644.7173117748358
3095045,729,JOOST,AVE,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,3204.8587147887224
3611027,931,SOUTH VAN NESS,AVE,Mission,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",9,Jackie Fielder,50,2264.6661591177094
5524005,1526,TREAT,AVE,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2718.4022520627855
0923027,3356,BAKER,ST,Marina,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",2,Stephen Sherrill,40,6115.0682373306
3005B004,85,BURLWOOD,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,4115.466715770532
1233018,1360,HAIGHT,ST,Haight Ashbury,NCD,HAIGHT STREET NEIGHBORHOOD COMMERCIAL,5,Bilal Mahmood,65,2265.1793583795516
1715003,1223,35TH,AVE,Sunset/Parkside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",4,Alan Wong,40,1219.1604954672844
6482039,55,MORSE,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3656.5544505624944
0305016,642,JONES,ST,Tenderloin,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",3,Danny Sauter,130,621.5088743079303
6079026,465,MADRID,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3259.741698205238
1303006,6,SCENIC,WAY,Seacliff,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",1,Connie Chan,40,3051.124011821465
1425042,214,09TH,AVE,Inner Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,50,1462.019721973653
2408020,1614,ULLOA,ST,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,608.8351311860599
4078009,727,HAMPSHIRE,ST,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,3985.7969301176263
1184016,1566,GROVE,ST,Lone Mountain/USF,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",5,Bilal Mahmood,40,2743.4362421603223
0248018,1140,HYDE,ST,Nob Hill,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",3,Danny Sauter,65,1538.66537377409
6709016,1006,CHENERY,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1848.6987470448541
6555015,4222,26TH,ST,Noe Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,2135.049767668869
1640001,301,BALBOA,ST,Inner Richmond,NCD,INNER BALBOA STREET NEIGHBORHOOD COMMERCIAL DISTRICT,1,Connie Chan,65,1508.3318060514443
4792025A,1233,SHAFTER,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2612.8736352445326
7548014,10,SUSSEX,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1093.465863926447
7533014,133,TOPAZ,WAY,Glen Park,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",8,Rafael Mandelman,40,2843.435623952624
5328023,1870,QUESADA,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1099.0376857302654
6007027A,259,NAPLES,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3311.6916745776753
